indice_tiempo,par_origen_destino,viajes,asientos,pasajeros
2019,Eduardo Castex - Ciudad Autonoma De Buenos Aires,55,2335,2025
2019,Eldorado - Posadas,62,2307,1610
2019,Escobar - Ciudad Autonoma De Buenos Aires,206,5677,3812
2019,Esteban Echeverria - Ciudad Autonoma De Buenos Aires,143,5940,5014
2019,Ezeiza - Ciudad Autonoma De Buenos Aires,333,12979,8841
2019,Ezeiza - La Plata,49,1588,1173
2019,Ezeiza - Mar Del Plata,1537,89229,49294
2019,Ezeiza - Rosario,256,8198,4316
2019,Federacion - Ciudad Autonoma De Buenos Aires,62,3490,3236
2019,Firmat - Ciudad Autonoma De Buenos Aires,224,12108,10069
2019,Florencio Varela - Ciudad Autonoma De Buenos Aires,85,4793,3833
2019,Florencio Varela - Villa Carlos Paz,170,10262,8961
2019,Formosa - Ciudad Autonoma De Buenos Aires,189,10900,9564
2019,Formosa - Corrientes,75,3445,2977
2019,Formosa - Resistencia,53,2428,1949
2019,Frontera - Cordoba,53,2017,1885
2019,General Pico - Ciudad Autonoma De Buenos Aires,125,6302,4900
2019,General Pico - Lomas De Zamora,69,3937,3464
2019,General Pico - Once,80,4578,3759
2019,General Roca - Neuquen,95,3243,2582
2019,General Roca - Yac Medano De La Mora,49,495,316
2019,General Rodriguez - Ciudad Autonoma De Buenos Aires,393,8393,5917
2019,Gonzalez Catan - Villa Atamisqui,68,3931,3017
2019,Gualeguay - Ciudad Autonoma De Buenos Aires,93,2206,1886
2019,Gualeguaychu - Ciudad Autonoma De Buenos Aires,260,10545,8888
2019,Gualeguaychu - La Plata,90,1619,1218
2019,Gualeguaychu - Lomas De Zamora,103,5883,4450
2019,Gualeguaychu - Zarate,156,6895,4952
2019,Hurlingham - Ciudad Autonoma De Buenos Aires,52,2303,1886
2019,Ituzaingo - Ciudad Autonoma De Buenos Aires,81,3353,2740
2019,Jose C. Paz - Ciudad Autonoma De Buenos Aires,63,3307,2828
2019,Juan Bautista Alberdi - Ciudad Autonoma De Buenos Aires,78,2276,1727
2019,Juarez Celman - Oran,73,3917,2743
2019,Junin - Ciudad Autonoma De Buenos Aires,703,20655,16890
2019,Junin - Rosario,274,5762,4924
2019,La Plata - Ciudad Autonoma De Buenos Aires,1468,56794,44944
2019,La Plata - Ezeiza,122,4245,2491
2019,La Plata - Federacion,60,3432,3098
2019,La Plata - Gualeguaychu,84,1900,1281
2019,La Plata - Lujan,56,2823,2488
2019,La Plata - Mar Del Plata,53,2736,2399
2019,La Plata - Mendoza,48,2717,2508
2019,La Plata - Merlo,104,6089,5575
2019,La Plata - Puerto Iguazu,53,2368,2053
2019,La Plata - Rosario,97,4795,4052
2019,La Plata - Salta,48,2839,2701
2019,La Plata - San Carlos De Bariloche,72,4221,4170
2019,La Plata - San Rafael,85,5015,4803
2019,La Plata - Tigre,60,2713,2175
2019,La Plata - Villa Carlos Paz,247,14538,12846
2019,La Plata - Villa Martelli,55,2601,1962
2019,La Quiaca - Mendoza,184,10796,9253
2019,La Quiaca - Perito Moreno,80,3440,2578
2019,La Quiaca - Salta,48,1301,1028
2019,La Rioja - Ciudad Autonoma De Buenos Aires,199,11315,9869
2019,La Rioja - Oran,50,2965,1894
2019,La Rioja - Salta,66,3730,3390
2019,La Rioja - San Fernando Del Valle De Catamarca,50,2473,2207
2019,Lanus - Ciudad Autonoma De Buenos Aires,98,5195,4227
2019,Las Flores - Ciudad Autonoma De Buenos Aires,884,17280,12411
2019,Las Lenas - Ciudad Autonoma De Buenos Aires,78,3368,3102
2019,Lavallol - Villa Carlos Paz,50,2891,2348
2019,Libertador General San Martin - Ciudad Autonoma De Buenos Aires,123,6807,6158
2019,Libertador San Martin - Santa Fe,77,1745,1294
2019,Lincoln - Buenos Aires,204,3872,2145
2019,Lincoln - Ciudad Autonoma De Buenos Aires,231,5064,4004
2019,Llavallol - Villa Carlos Paz,55,3298,3051
2019,Lobos - Ciudad Autonoma De Buenos Aires,176,4990,3545
2019,Lomas De Zamora - Ciudad Autonoma De Buenos Aires,97,4642,4097
2019,Lomas De Zamora - Villa Carlos Paz,53,3061,2703
2019,Los Cardales - Ciudad Autonoma De Buenos Aires,74,2627,1786
2019,Los Toldos - Ciudad Autonoma De Buenos Aires,202,4942,3889
2019,Luis Guillon - San Rafael,69,4141,3787
2019,Lujan - Ciudad Autonoma De Buenos Aires,223,8874,7507
2019,Lules - Aguas Blancas,59,3104,2379
2019,Maipu - Colonia 25 De Mayo,66,1254,648
2019,Manuel B Gonnet - Ciudad Autonoma De Buenos Aires,51,1009,709
2019,Mar De Ajo - Ciudad Autonoma De Buenos Aires,112,2665,1877
2019,Mar Del Plata - Ciudad Autonoma De Buenos Aires,1581,68010,53898
2019,Mar Del Plata - Ezeiza,1519,87986,51867
2019,Mar Del Plata - Flores,91,3932,3532
2019,Mar Del Plata - Mendoza,56,2996,2459
2019,Mar Del Plata - Merlo,70,3898,3479
2019,Mar Del Plata - Salta,59,3181,2870
2019,Mar Del Plata - San Carlos De Bariloche,55,3141,2758
2019,Mar Del Plata - Termas De Rio Hondo,89,4535,3471
2019,Mar Del Plata - Villa Carlos Paz,160,8927,8297
2019,Marcos Paz - Ciudad Autonoma De Buenos Aires,59,2330,1784
2019,Mendoza - Ciudad Autonoma De Buenos Aires,331,17779,15160
2019,Mendoza - Cordoba,100,4800,4135
2019,Mendoza - La Quiaca,185,10888,10003
2019,Mendoza - Mar Del Plata,64,3582,3078
