indice_tiempo,par_origen_destino,viajes,asientos,pasajeros
2019,La Plata-Pirane,338,19775,20078
2019,La Plata-Posadas,822,45434,36961
2019,La Plata-Puerto Iguazú,1910,89431,84048
2019,La Plata-Resistencia,1331,70758,55671
2019,La Plata-Rosario,2193,125801,82980
2019,La Plata-Salta,142,7147,5626
2019,La Plata-Salvador Mazza,1090,53007,50970
2019,La Plata-San Carlos De Bariloche,391,16816,20763
2019,La Plata-San Fernando Del Valle De Catamarca,242,14016,11936
2019,La Plata-San Juan,316,18286,16027
2019,La Plata-San Miguel De Tucumán,879,52063,42578
2019,La Plata-Santa Rosa,1422,52303,47214
2019,La Plata-Viedma,131,5633,3123
2019,La Plata-Villa Carlos Paz,73,4010,3872
2019,La Plata-Villaguay,160,9273,9909
2019,La Quiaca-Ciudad Autónoma De Buenos Aires,488,27856,27036
2019,La Quiaca-Esquel,1006,48401,41726
2019,La Quiaca-Mendoza,63,3690,3508
2019,La Quiaca-Salta,1841,113124,104778
2019,La Rioja-Ciudad Autónoma De Buenos Aires,817,38198,36651
2019,La Rioja-Córdoba,1803,97822,66984
2019,La Rioja-Salvador Mazza,332,19053,23510
2019,La Rioja-San Juan,433,25075,15064
2019,La Rioja-San Miguel De Tucumán,670,40159,26715
2019,Laborde-Ciudad Autónoma De Buenos Aires,134,7738,6436
2019,Lago Puelo-San Carlos De Bariloche,2248,101273,76500
2019,Lanus-Mar De Ajó,63,3746,2492
2019,Lanus-Villa Gesell,352,19333,12392
2019,Laprida-Ciudad Autónoma De Buenos Aires,329,18969,12872
2019,Las Flores-Ciudad Autónoma De Buenos Aires,271,5161,3177
2019,Las Lomitas-La Plata,1610,92440,86355
2019,Las Lomitas-Villa Carlos Paz,531,24011,21015
